epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2088,1.16633,2.50901,1.35381,0.00281,0.43689,0.24531,0.14111,1.81867,3.1768,1.85162,0.000540231,0.000540231,0.000540231
2,27.0906,1.14741,1.51273,1.27463,0.94978,0.23127,0.3798,0.23621,1.44483,2.51367,1.55591,0.00108505,0.00108505,0.00108505
3,36.621,1.18819,1.40983,1.29352,0.71274,0.22486,0.22461,0.097,1.86529,2.60237,1.95006,0.00161886,0.00161886,0.00161886
4,46.0105,1.27508,1.39027,1.38219,0.44832,0.211,0.21829,0.0941,2.0093,2.81058,2.16229,0.00161749,0.00161749,0.00161749
5,55.3575,1.18837,1.22819,1.28896,0.58553,0.34653,0.3856,0.20348,1.7579,2.23721,1.77365,0.00160099,0.00160099,0.00160099
6,64.6048,1.17998,1.1258,1.2658,0.53831,0.44683,0.47316,0.28514,1.56566,1.71626,1.56821,0.00158448,0.00158448,0.00158448
7,73.9865,1.14709,1.06923,1.25516,0.73848,0.42135,0.49621,0.30474,1.50201,2.22648,1.48658,0.00156798,0.00156798,0.00156798
8,83.3084,1.11929,1.00612,1.23696,0.68099,0.53725,0.57472,0.35218,1.44243,1.50411,1.46828,0.00155148,0.00155148,0.00155148
9,92.5927,1.0966,0.94438,1.23704,0.5403,0.48154,0.47755,0.28722,1.51952,1.51012,1.57105,0.00153497,0.00153497,0.00153497
10,101.82,1.07986,0.94227,1.21247,0.61581,0.60441,0.60766,0.4086,1.23343,1.09915,1.2895,0.00151847,0.00151847,0.00151847
11,111.074,1.03477,0.87222,1.18063,0.48278,0.54402,0.51338,0.3402,1.29963,1.40901,1.34359,0.00150197,0.00150197,0.00150197
12,120.322,1.02799,0.91102,1.19245,0.58911,0.58173,0.57703,0.37255,1.30558,1.16702,1.33165,0.00148546,0.00148546,0.00148546
13,129.597,0.99426,0.81804,1.17033,0.67904,0.63076,0.63955,0.43457,1.15053,1.03911,1.23914,0.00146896,0.00146896,0.00146896
14,139.094,0.98645,0.81887,1.1537,0.64131,0.63003,0.61839,0.41943,1.23589,1.18303,1.2803,0.00145246,0.00145246,0.00145246
15,148.453,0.98953,0.78929,1.1662,0.62644,0.64121,0.63495,0.42122,1.26512,1.04119,1.30345,0.00143595,0.00143595,0.00143595
16,157.732,0.98102,0.81678,1.15677,0.68858,0.66151,0.66902,0.46188,1.13215,0.90612,1.17003,0.00141945,0.00141945,0.00141945
17,167.075,0.95846,0.768,1.14187,0.6901,0.66728,0.67958,0.49024,1.06944,0.87548,1.14938,0.00140295,0.00140295,0.00140295
18,176.389,0.96364,0.78556,1.17066,0.65542,0.67525,0.65108,0.44756,1.1631,1.00737,1.21696,0.00138644,0.00138644,0.00138644
19,185.645,0.91737,0.72975,1.10523,0.67124,0.67563,0.70003,0.48912,1.07887,0.90341,1.1583,0.00136994,0.00136994,0.00136994
20,194.94,0.89275,0.69485,1.09417,0.73187,0.64732,0.65765,0.46737,1.09147,1.04932,1.14988,0.00135344,0.00135344,0.00135344
21,204.248,0.87893,0.6933,1.0958,0.74027,0.67476,0.69434,0.48487,1.08179,0.92269,1.15075,0.00133693,0.00133693,0.00133693
22,213.448,0.88864,0.7094,1.11353,0.75402,0.66129,0.70882,0.49997,1.05789,0.84466,1.13784,0.00132043,0.00132043,0.00132043
23,222.649,0.88779,0.68722,1.12168,0.72869,0.68091,0.69218,0.48933,1.05635,0.83799,1.12542,0.00130393,0.00130393,0.00130393
24,231.894,0.87962,0.67596,1.09166,0.72461,0.66522,0.68708,0.49065,1.041,0.83963,1.12762,0.00128742,0.00128742,0.00128742
25,241.175,0.86913,0.67679,1.08823,0.74831,0.69265,0.70965,0.51177,1.04016,0.79263,1.13083,0.00127092,0.00127092,0.00127092
26,250.447,0.8727,0.65931,1.0885,0.75907,0.71234,0.71822,0.50932,1.03804,0.78429,1.10685,0.00125442,0.00125442,0.00125442
27,259.674,0.95229,0.70867,1.18407,0.74592,0.69454,0.69369,0.48022,1.0699,0.84369,1.1271,0.00123791,0.00123791,0.00123791
28,268.952,0.85959,0.65419,1.08444,0.76862,0.74342,0.74599,0.52149,1.01796,0.75138,1.1075,0.00122141,0.00122141,0.00122141
29,278.601,0.85115,0.63657,1.09841,0.72624,0.70582,0.73173,0.51174,1.03545,0.79516,1.14233,0.00120491,0.00120491,0.00120491
30,287.915,0.82985,0.62463,1.07203,0.80294,0.73279,0.76123,0.53341,1.02423,0.75516,1.11129,0.0011884,0.0011884,0.0011884
31,297.214,0.85132,0.6317,1.06727,0.7478,0.7221,0.73521,0.52599,1.02645,0.77889,1.1181,0.0011719,0.0011719,0.0011719
32,306.521,0.80851,0.60863,1.05083,0.83957,0.69912,0.74454,0.54142,0.9683,0.74395,1.07933,0.0011554,0.0011554,0.0011554
33,315.862,0.79731,0.60086,1.04858,0.82301,0.6968,0.73964,0.54194,0.97023,0.73031,1.07033,0.00113889,0.00113889,0.00113889
34,325.087,0.81359,0.59415,1.08417,0.8085,0.7091,0.75526,0.54338,0.97056,0.74225,1.09009,0.00112239,0.00112239,0.00112239
35,334.274,0.79039,0.86072,1.03233,0.76362,0.73473,0.74032,0.53816,0.99457,0.72319,1.09906,0.00110589,0.00110589,0.00110589
36,343.484,0.79804,0.60338,1.05636,0.80528,0.7438,0.76716,0.55661,0.96178,0.72267,1.07219,0.00108938,0.00108938,0.00108938
37,352.651,0.7827,0.58754,1.0538,0.74342,0.73255,0.73935,0.53374,0.95573,0.71128,1.07868,0.00107288,0.00107288,0.00107288
38,361.936,0.79,0.57956,1.09313,0.8367,0.72488,0.76506,0.55663,0.96435,0.71265,1.0722,0.00105638,0.00105638,0.00105638
39,371.143,0.79578,0.5775,1.06816,0.78591,0.71314,0.73721,0.53703,0.97205,0.7537,1.08547,0.00103987,0.00103987,0.00103987
40,380.438,0.79929,0.58251,1.04953,0.80738,0.71647,0.74204,0.53899,0.9558,0.74806,1.06594,0.00102337,0.00102337,0.00102337
41,389.865,0.76205,0.57559,1.03056,0.78787,0.72301,0.75857,0.55667,0.92631,0.69271,1.05202,0.00100687,0.00100687,0.00100687
42,399.327,0.77083,0.56297,1.04545,0.85937,0.71761,0.76512,0.55492,0.94716,0.69312,1.06228,0.000990365,0.000990365,0.000990365
43,408.686,0.78206,0.57832,1.05025,0.85602,0.71495,0.76155,0.5533,0.95603,0.67151,1.05535,0.000973861,0.000973861,0.000973861
44,418.02,0.76702,0.55298,1.02939,0.82489,0.7236,0.75601,0.55443,0.95681,0.70328,1.05722,0.000957358,0.000957358,0.000957358
45,427.246,0.74584,0.54531,1.02765,0.80431,0.73045,0.77059,0.55577,0.95161,0.69497,1.06094,0.000940855,0.000940855,0.000940855
46,436.617,0.76007,0.56162,1.03204,0.83269,0.75115,0.76485,0.54782,0.95115,0.69921,1.05255,0.000924352,0.000924352,0.000924352
47,445.93,0.7417,0.54193,1.01881,0.8239,0.70887,0.74935,0.55143,0.95397,0.73472,1.06853,0.000907848,0.000907848,0.000907848
48,455.251,0.73087,0.53358,1.03608,0.82095,0.71911,0.75565,0.56611,0.92931,0.68738,1.05596,0.000891345,0.000891345,0.000891345
49,464.529,0.72454,0.74266,1.00914,0.82125,0.71633,0.76219,0.55726,0.93142,0.7116,1.05823,0.000874842,0.000874842,0.000874842
50,473.719,0.73736,0.5288,1.0247,0.82281,0.72907,0.76464,0.5629,0.94651,0.683,1.04592,0.000858338,0.000858338,0.000858338
51,482.976,0.72087,0.53297,1.01976,0.83327,0.73865,0.77594,0.565,0.94844,0.65427,1.0477,0.000841835,0.000841835,0.000841835
