epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0476,1.16633,2.50901,1.35381,0.00281,0.43689,0.24531,0.14111,1.81867,3.1768,1.85162,0.000540231,0.000540231,0.000540231
2,36.0678,1.13922,1.50148,1.27385,0.88992,0.29328,0.34261,0.21517,1.59291,2.45563,1.6801,0.00109047,0.00109047,0.00109047
3,49.6017,1.14374,1.38312,1.27403,0.60853,0.08269,0.0538,0.02279,2.36963,3.10385,2.48329,0.00163521,0.00163521,0.00163521
4,63.129,1.28157,1.36669,1.40886,0.79544,0.24935,0.27788,0.12352,2.15187,2.63765,2.52728,0.00164225,0.00164225,0.00164225
5,76.6253,1.20228,1.20088,1.29294,0.36004,0.31671,0.27899,0.12847,1.96158,2.4292,1.89363,0.00163399,0.00163399,0.00163399
6,90.2519,1.18068,1.11041,1.26277,0.52989,0.35118,0.35371,0.18417,1.98656,2.03514,2.02295,0.00162574,0.00162574,0.00162574
7,103.767,1.12844,1.05422,1.25542,0.57527,0.54413,0.5302,0.3239,1.45184,1.4348,1.47944,0.00161749,0.00161749,0.00161749
8,117.26,1.11753,0.99902,1.2507,0.85589,0.44181,0.52052,0.30028,1.46147,1.77287,1.47981,0.00160924,0.00160924,0.00160924
9,130.638,1.07425,0.93976,1.23403,0.59205,0.55654,0.57485,0.35576,1.4325,1.30095,1.41369,0.00160099,0.00160099,0.00160099
10,144.066,1.08262,0.93382,1.22135,0.62251,0.61073,0.61035,0.41577,1.26586,1.12988,1.3011,0.00159274,0.00159274,0.00159274
11,157.493,1.06497,0.88721,1.19724,0.5441,0.61822,0.63418,0.40862,1.29068,1.09976,1.29416,0.00158448,0.00158448,0.00158448
12,170.949,1.03715,0.89139,1.19523,0.68789,0.63237,0.63949,0.43576,1.18781,1.52304,1.22496,0.00157623,0.00157623,0.00157623
13,184.378,1.00821,0.84943,1.18008,0.54487,0.591,0.56543,0.364,1.31352,1.2991,1.36409,0.00156798,0.00156798,0.00156798
14,197.808,1.00721,0.8447,1.16549,0.65704,0.64598,0.67558,0.46386,1.15351,1.0179,1.20374,0.00155973,0.00155973,0.00155973
15,211.215,0.98696,0.78779,1.17217,0.64679,0.61898,0.62273,0.42813,1.16978,0.99682,1.24506,0.00155148,0.00155148,0.00155148
16,224.618,0.98329,0.80245,1.17484,0.75358,0.63763,0.68125,0.46465,1.16205,0.94772,1.20508,0.00154323,0.00154323,0.00154323
17,238.106,0.96786,0.77821,1.15483,0.65681,0.65275,0.63302,0.43789,1.17248,0.95119,1.22972,0.00153497,0.00153497,0.00153497
18,251.642,0.98492,0.79802,1.17426,0.7132,0.66965,0.69378,0.47822,1.14311,0.95563,1.19219,0.00152672,0.00152672,0.00152672
19,265.146,0.94783,0.73501,1.1204,0.68146,0.63725,0.63968,0.39887,1.31433,1.20554,1.32041,0.00151847,0.00151847,0.00151847
20,278.434,0.92897,0.71378,1.11134,0.66208,0.6243,0.62277,0.42861,1.17496,1.01733,1.24683,0.00151022,0.00151022,0.00151022
21,291.732,0.92749,0.71496,1.11587,0.72357,0.67066,0.68926,0.48263,1.09353,0.8745,1.15842,0.00150197,0.00150197,0.00150197
22,304.998,0.90592,0.7244,1.12853,0.7422,0.68608,0.71415,0.49173,1.07887,0.89817,1.16647,0.00149372,0.00149372,0.00149372
23,318.378,0.90292,0.72173,1.12621,0.74644,0.66311,0.69444,0.49028,1.04883,0.88659,1.14959,0.00148546,0.00148546,0.00148546
24,331.755,0.91901,0.68963,1.12866,0.68795,0.63157,0.66199,0.44624,1.11236,0.96145,1.20984,0.00147721,0.00147721,0.00147721
25,345.38,0.92451,0.71678,1.12012,0.72669,0.6343,0.69595,0.46919,1.13047,0.97868,1.2129,0.00146896,0.00146896,0.00146896
26,358.879,0.88033,0.67476,1.09642,0.76331,0.69394,0.71165,0.50787,1.03967,0.82564,1.14511,0.00146071,0.00146071,0.00146071
27,372.26,0.97963,0.80833,1.28783,0.71037,0.67937,0.67707,0.47307,1.09595,0.91992,1.19065,0.00145246,0.00145246,0.00145246
28,385.732,0.8795,0.68718,1.09392,0.75728,0.68391,0.71717,0.48678,1.13637,0.89285,1.1694,0.00144421,0.00144421,0.00144421
29,399.155,0.87487,0.66016,1.11111,0.76165,0.71849,0.74009,0.52403,1.05137,0.80833,1.13866,0.00143595,0.00143595,0.00143595
30,412.604,0.8437,0.63805,1.06973,0.73575,0.67175,0.70373,0.48648,1.09355,0.83418,1.1666,0.0014277,0.0014277,0.0014277
31,426.001,0.87412,0.65161,1.08257,0.71625,0.7217,0.7128,0.5025,1.03443,0.81627,1.12587,0.00141945,0.00141945,0.00141945
32,439.389,0.83097,0.63044,1.06937,0.74567,0.71821,0.74472,0.52175,1.04289,0.82603,1.12437,0.0014112,0.0014112,0.0014112
33,452.676,0.84548,0.63863,1.08182,0.78521,0.70657,0.72287,0.51632,1.02063,0.77739,1.10396,0.00140295,0.00140295,0.00140295
34,465.993,0.81518,0.62423,1.07307,0.78317,0.68737,0.71176,0.50073,1.07215,0.83328,1.14208,0.0013947,0.0013947,0.0013947
35,479.483,0.80531,0.88626,1.04155,0.76556,0.6816,0.69951,0.51226,0.99543,0.79064,1.10572,0.00138644,0.00138644,0.00138644
36,492.86,0.83241,0.63119,1.07998,0.81585,0.70168,0.74093,0.53161,0.99886,0.75962,1.09887,0.00137819,0.00137819,0.00137819
37,506.214,0.82731,0.62992,1.07636,0.77224,0.70518,0.72824,0.53565,1.00217,0.74407,1.09113,0.00136994,0.00136994,0.00136994
38,519.605,0.81521,0.61165,1.12382,0.81111,0.68817,0.7303,0.52335,1.03389,0.7701,1.12145,0.00136169,0.00136169,0.00136169
39,533.068,0.81275,0.6056,1.0753,0.76737,0.70528,0.71152,0.5286,0.96301,0.72948,1.08343,0.00135344,0.00135344,0.00135344
40,546.602,0.81685,0.60517,1.06506,0.81201,0.69755,0.74028,0.54009,0.99119,0.77102,1.09913,0.00134519,0.00134519,0.00134519
41,560.209,0.78916,0.5963,1.04442,0.77025,0.67812,0.70101,0.51812,0.95542,0.75346,1.10319,0.00133693,0.00133693,0.00133693
42,573.669,0.79409,0.58643,1.05373,0.81282,0.7062,0.73168,0.52328,0.99038,0.74092,1.0985,0.00132868,0.00132868,0.00132868
43,587.132,0.80203,0.60162,1.06162,0.79058,0.75424,0.76368,0.53831,0.99646,0.72656,1.08488,0.00132043,0.00132043,0.00132043
44,600.615,0.82984,0.59493,1.05331,0.80227,0.71472,0.74718,0.5325,1.03429,0.7374,1.11745,0.00131218,0.00131218,0.00131218
45,614.093,0.77733,0.57774,1.04735,0.79727,0.7405,0.75306,0.54739,0.95417,0.6995,1.06596,0.00130393,0.00130393,0.00130393
46,627.564,0.80878,0.59154,1.05609,0.78028,0.7027,0.73116,0.52296,1.01477,0.77777,1.12519,0.00129568,0.00129568,0.00129568
47,641.039,0.78966,0.57873,1.04424,0.79783,0.71145,0.74408,0.54762,0.93182,0.71748,1.06083,0.00128742,0.00128742,0.00128742
48,654.505,0.77704,0.58243,1.05139,0.80523,0.74368,0.76692,0.56053,0.92981,0.69439,1.06565,0.00127917,0.00127917,0.00127917
49,668,0.75349,0.79295,1.02173,0.80674,0.73662,0.75551,0.54506,0.99307,0.70337,1.10369,0.00127092,0.00127092,0.00127092
50,681.471,0.7658,0.56082,1.04116,0.85347,0.72577,0.7671,0.55875,0.93115,0.67809,1.05298,0.00126267,0.00126267,0.00126267
