epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4011,3.35377,3.70186,3.30054,0.00151,0.35401,0.0026,0.00062,3.57769,3.58752,3.14399,0.067234,0.000330969,0.000330969
2,68.923,2.97251,3.52623,2.9144,0.00135,0.32171,0.00219,0.00056,3.30192,3.6961,2.90642,0.034234,0.000664262,0.000664262
3,101.788,2.8222,3.50618,2.79519,0.00176,0.41731,0.00515,0.00102,3.20308,3.56828,2.81717,0.0012338,0.000997392,0.000997392
4,134.271,2.74822,3.48981,2.70572,0.0018,0.42377,0.00959,0.00202,3.04099,3.51546,2.79375,0.00099945,0.00099945,0.00099945
5,166.393,2.7015,3.45998,2.65446,0.50299,0.41731,0.01646,0.00406,2.9284,3.49051,2.66537,0.000999023,0.000999023,0.000999023
6,198.676,2.67606,3.36134,2.64149,0.1295,0.0801,0.07123,0.0159,2.94078,3.2675,2.61171,0.000998474,0.000998474,0.000998474
7,231.105,2.68903,3.22259,2.60443,0.13812,0.1292,0.09289,0.02083,2.9503,3.13997,2.61618,0.000997803,0.000997803,0.000997803
8,263.574,2.67678,3.05207,2.60364,0.22868,0.16879,0.16429,0.04207,3.00561,2.82039,2.72896,0.000997011,0.000997011,0.000997011
9,296.058,2.64436,2.87096,2.54853,0.24022,0.20543,0.19737,0.0654,2.85244,2.65496,2.55376,0.000996097,0.000996097,0.000996097
10,328.551,2.62176,2.74483,2.52713,0.26489,0.20962,0.21264,0.06532,2.85126,2.57906,2.51223,0.000995062,0.000995062,0.000995062
11,361.088,2.60206,2.66709,2.49684,0.29128,0.21447,0.23951,0.09006,2.73879,2.6461,2.47263,0.000993906,0.000993906,0.000993906
12,393.349,2.54635,2.55421,2.46336,0.20689,0.24548,0.18027,0.06257,2.77254,2.58886,2.51813,0.000992629,0.000992629,0.000992629
13,425.603,2.50222,2.47572,2.41997,0.27465,0.26227,0.27272,0.11159,2.68961,2.35354,2.53835,0.000991232,0.000991232,0.000991232
14,458.209,2.4362,2.39276,2.3832,0.3109,0.2719,0.28386,0.13128,2.54938,2.30724,2.3014,0.000989715,0.000989715,0.000989715
15,490.918,2.38228,2.30512,2.35108,0.35638,0.28165,0.32257,0.14968,2.54935,2.17893,2.35635,0.000988079,0.000988079,0.000988079
16,523.434,2.32938,2.22748,2.29768,0.30932,0.26615,0.28486,0.11873,2.59101,2.32791,2.44012,0.000986323,0.000986323,0.000986323
17,556.029,2.2969,2.18933,2.2751,0.36003,0.29457,0.32887,0.11344,2.61423,2.18326,2.35882,0.000984449,0.000984449,0.000984449
18,588.613,2.21147,2.10269,2.21825,0.32689,0.27519,0.30119,0.13663,2.41168,2.22318,2.3067,0.000982456,0.000982456,0.000982456
19,620.924,2.14727,2.02274,2.15415,0.84866,0.33931,0.36577,0.17746,2.24392,1.99018,2.17673,0.000980345,0.000980345,0.000980345
20,653.295,2.09662,1.96071,2.11413,0.36717,0.31912,0.34901,0.17239,2.30735,2.14395,2.23568,0.000978118,0.000978118,0.000978118
21,685.683,2.03103,1.88148,2.05978,0.91066,0.36305,0.39909,0.20977,2.14409,1.83589,2.05317,0.000975773,0.000975773,0.000975773
22,718.145,2.0084,1.82112,2.03475,0.9268,0.39173,0.42347,0.22812,2.09574,1.82301,2.06684,0.000973312,0.000973312,0.000973312
23,750.862,1.91084,1.74332,1.96168,0.45941,0.38022,0.42618,0.25513,2.00025,1.74865,1.98276,0.000970736,0.000970736,0.000970736
24,783.459,1.86508,1.68661,1.92563,0.93422,0.39664,0.42889,0.25936,1.90997,1.73595,1.9745,0.000968045,0.000968045,0.000968045
25,815.795,1.83304,1.64635,1.88695,0.93812,0.40827,0.43476,0.26797,1.88079,1.66703,1.93063,0.000965239,0.000965239,0.000965239
26,848.204,1.7677,1.59223,1.83946,0.93934,0.40956,0.4368,0.24993,1.97855,1.68501,2.03116,0.00096232,0.00096232,0.00096232
27,880.443,1.7532,1.5913,1.82633,0.9348,0.39634,0.42807,0.22906,2.11912,1.81496,1.99318,0.000959289,0.000959289,0.000959289
28,912.782,1.75605,1.56481,1.81864,0.92329,0.40439,0.42857,0.2498,1.9463,1.71777,1.9633,0.000956145,0.000956145,0.000956145
29,945.276,1.72592,1.54398,1.79358,0.94981,0.41085,0.44143,0.27757,1.85232,1.61432,1.88296,0.000952889,0.000952889,0.000952889
30,977.696,1.67644,1.48498,1.74944,0.96131,0.41214,0.45261,0.28593,1.79373,1.61093,1.82056,0.000949524,0.000949524,0.000949524
31,1010.24,1.66245,1.47636,1.74082,0.95471,0.42506,0.44781,0.2768,1.81899,1.60179,1.86644,0.000946048,0.000946048,0.000946048
32,1042.72,1.61741,1.43973,1.70212,0.93647,0.41731,0.43996,0.25892,1.91012,1.58782,1.92197,0.000942464,0.000942464,0.000942464
33,1075.28,1.60428,1.40152,1.68279,0.93845,0.43253,0.4471,0.27396,1.86488,1.58828,1.87378,0.000938772,0.000938772,0.000938772
34,1107.47,1.61363,1.41994,1.69547,0.96063,0.41731,0.44824,0.2805,1.84304,1.56679,1.91124,0.000934973,0.000934973,0.000934973
35,1139.66,1.55099,1.362,1.65131,0.95703,0.42636,0.44069,0.29133,1.70694,1.53151,1.77415,0.000931067,0.000931067,0.000931067
36,1172.07,1.52789,1.36243,1.62467,0.9614,0.43238,0.46015,0.32475,1.58606,1.45078,1.67132,0.000927057,0.000927057,0.000927057
37,1204.68,1.51374,1.32831,1.61335,0.94894,0.42636,0.45149,0.31406,1.71135,1.56378,1.76078,0.000922942,0.000922942,0.000922942
38,1237.2,1.50256,1.3236,1.59277,0.97361,0.44055,0.46545,0.31161,1.6045,1.45399,1.69036,0.000918725,0.000918725,0.000918725
39,1269.6,1.4981,1.30499,1.60273,0.96863,0.4354,0.46991,0.32966,1.59956,1.43357,1.68442,0.000914405,0.000914405,0.000914405
40,1302.1,1.476,1.28627,1.56602,0.96055,0.42765,0.4549,0.3034,1.6602,1.41881,1.72946,0.000909984,0.000909984,0.000909984
41,1334.46,1.43298,1.26071,1.53541,0.95402,0.44651,0.46995,0.32067,1.63446,1.44537,1.71488,0.000905463,0.000905463,0.000905463
42,1366.67,1.42668,1.24031,1.54202,0.96258,0.4354,0.4637,0.31784,1.59745,1.41868,1.71014,0.000900844,0.000900844,0.000900844
43,1399.05,1.43058,1.23977,1.52853,0.97014,0.44746,0.46601,0.30547,1.70921,1.42215,1.72615,0.000896127,0.000896127,0.000896127
44,1431.54,1.41195,1.22288,1.50817,0.97115,0.44307,0.46568,0.33327,1.50009,1.3599,1.61293,0.000891313,0.000891313,0.000891313
45,1464.02,1.3927,1.20916,1.50299,0.96183,0.43771,0.46249,0.32524,1.52716,1.37638,1.62647,0.000886404,0.000886404,0.000886404
46,1496.53,1.37621,1.20787,1.49343,0.96955,0.44961,0.46763,0.32657,1.58151,1.36151,1.63969,0.000881401,0.000881401,0.000881401
47,1528.94,1.35648,1.18584,1.46741,0.96884,0.44057,0.46539,0.33574,1.47521,1.35735,1.59993,0.000876305,0.000876305,0.000876305
48,1561.4,1.33508,1.14865,1.44858,0.96554,0.45478,0.46893,0.33653,1.49319,1.34277,1.5778,0.000871117,0.000871117,0.000871117
49,1593.71,1.34467,1.17549,1.44519,0.97633,0.43152,0.47112,0.3335,1.5151,1.36915,1.64684,0.000865839,0.000865839,0.000865839
50,1626.04,1.34207,1.16935,1.44763,0.97967,0.44703,0.47159,0.32912,1.51512,1.31763,1.61839,0.000860473,0.000860473,0.000860473
51,1658.52,1.31827,1.15341,1.43575,0.97679,0.44574,0.47378,0.34365,1.46749,1.33245,1.58357,0.000855018,0.000855018,0.000855018
52,1690.97,1.27778,1.12131,1.40518,0.97473,0.43694,0.47032,0.34704,1.42963,1.26695,1.55944,0.000849477,0.000849477,0.000849477
53,1723.39,1.26696,1.10614,1.39322,0.96767,0.4522,0.47102,0.34574,1.39299,1.27059,1.53042,0.000843851,0.000843851,0.000843851
54,1755.79,1.27987,1.11085,1.39758,0.97706,0.4568,0.48067,0.36261,1.37768,1.29112,1.50498,0.000838141,0.000838141,0.000838141
55,1788.1,1.2652,1.0897,1.3894,0.9619,0.45424,0.47473,0.34944,1.42647,1.28891,1.54807,0.000832349,0.000832349,0.000832349
56,1820.37,1.26118,1.09785,1.38508,0.95894,0.45866,0.47617,0.35386,1.3837,1.26835,1.50785,0.000826477,0.000826477,0.000826477
57,1852.56,1.22368,1.06741,1.36149,0.97671,0.45478,0.47306,0.35478,1.38633,1.25846,1.51095,0.000820525,0.000820525,0.000820525
58,1884.82,1.22879,1.08086,1.37303,0.97186,0.45487,0.48036,0.34902,1.44114,1.29997,1.57901,0.000814495,0.000814495,0.000814495
59,1917.32,1.22172,1.06375,1.3675,0.97674,0.45011,0.46789,0.33916,1.44817,1.25763,1.6094,0.000808389,0.000808389,0.000808389
60,1949.78,1.2197,1.06174,1.35566,0.9794,0.45607,0.47647,0.33777,1.43921,1.2211,1.51366,0.000802208,0.000802208,0.000802208
61,1982.33,1.22375,1.05587,1.33388,0.96849,0.46512,0.47829,0.36031,1.36142,1.24106,1.4749,0.000795954,0.000795954,0.000795954
62,2014.71,1.20062,1.0622,1.34153,0.97932,0.44915,0.47521,0.35275,1.37591,1.24308,1.5064,0.000789628,0.000789628,0.000789628
63,2047.28,1.17645,1.04699,1.32441,0.95344,0.45866,0.47583,0.3505,1.40118,1.27566,1.50296,0.000783231,0.000783231,0.000783231
64,2079.49,1.18587,1.058,1.33331,0.9771,0.4575,0.48225,0.3633,1.3508,1.21074,1.4758,0.000776766,0.000776766,0.000776766
65,2111.81,1.16678,1.02477,1.32087,0.94949,0.45989,0.47229,0.35231,1.35158,1.23728,1.51944,0.000770234,0.000770234,0.000770234
66,2144.32,1.15598,1.00306,1.30975,0.96831,0.45607,0.47887,0.36554,1.34528,1.2518,1.47864,0.000763637,0.000763637,0.000763637
67,2176.8,1.1478,1.0024,1.3013,0.97795,0.44961,0.47703,0.36181,1.34526,1.18673,1.49108,0.000756976,0.000756976,0.000756976
