epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.861,1.62989,2.74426,1.70551,0.41175,0.32012,0.3357,0.17581,1.77432,2.18116,1.73385,0.0702128,0.00330969,0.00330969
2,45.3622,1.24827,1.52989,1.35216,0.48773,0.49749,0.49522,0.29145,1.49246,1.53402,1.52599,0.0401799,0.00661014,0.00661014
3,66.0899,1.23243,1.32924,1.31733,0.68286,0.39263,0.46043,0.24356,1.642,1.85997,1.60128,0.010114,0.00987759,0.00987759
4,86.1658,1.26038,1.27135,1.32868,0.54763,0.56841,0.55848,0.33636,1.50877,1.35705,1.49412,0.0098515,0.0098515,0.0098515
5,106.175,1.20115,1.14972,1.29291,0.80846,0.53194,0.5997,0.38096,1.37233,1.24996,1.38644,0.009802,0.009802,0.009802
6,126.059,1.14694,1.08122,1.26323,0.64206,0.58173,0.56937,0.35969,1.38786,1.31626,1.39229,0.0097525,0.0097525,0.0097525
7,145.926,1.11999,1.02015,1.24365,0.55869,0.5661,0.5754,0.36205,1.33432,1.21147,1.37837,0.009703,0.009703,0.009703
8,165.599,1.08609,0.97118,1.22625,0.67633,0.61555,0.63519,0.41245,1.28492,1.11672,1.29868,0.0096535,0.0096535,0.0096535
9,185.322,1.05674,0.91683,1.19454,0.73079,0.52986,0.60689,0.37986,1.37197,1.25753,1.38302,0.009604,0.009604,0.009604
10,205.112,1.02315,0.86636,1.17883,0.75682,0.64161,0.6576,0.45081,1.15434,0.94527,1.21852,0.0095545,0.0095545,0.0095545
11,224.756,1.01191,0.86702,1.17729,0.75636,0.59837,0.64304,0.44166,1.1899,1.0101,1.23621,0.009505,0.009505,0.009505
12,244.508,0.97757,0.83015,1.17369,0.70508,0.67365,0.67998,0.46943,1.10964,0.88759,1.1935,0.0094555,0.0094555,0.0094555
13,264.272,0.97506,0.8193,1.15571,0.65793,0.66007,0.63955,0.44223,1.14611,0.95174,1.19421,0.009406,0.009406,0.009406
14,284.096,0.95246,0.79355,1.14804,0.72371,0.65335,0.67408,0.45971,1.12718,0.88808,1.18984,0.0093565,0.0093565,0.0093565
15,304.204,0.9429,0.77952,1.14794,0.72198,0.68706,0.68835,0.49239,1.04115,0.81357,1.12787,0.009307,0.009307,0.009307
16,324.238,0.92521,0.75405,1.13108,0.7386,0.67056,0.68158,0.48827,1.05542,0.84662,1.14535,0.0092575,0.0092575,0.0092575
17,344.209,0.9226,0.75376,1.13612,0.72683,0.6731,0.67359,0.4868,1.04009,0.85556,1.13842,0.009208,0.009208,0.009208
18,364.076,0.89874,0.72098,1.1141,0.73814,0.69916,0.70897,0.50287,1.02275,0.79111,1.11306,0.0091585,0.0091585,0.0091585
19,383.811,0.90464,0.72749,1.12142,0.7428,0.67966,0.67443,0.48197,1.03654,0.84684,1.1352,0.009109,0.009109,0.009109
20,403.75,0.90196,0.72632,1.11711,0.77387,0.69205,0.70733,0.49656,1.01614,0.82661,1.14532,0.0090595,0.0090595,0.0090595
21,423.466,0.88117,0.69179,1.10898,0.74045,0.71593,0.72703,0.51456,1.01329,0.77179,1.11448,0.00901,0.00901,0.00901
22,443.315,0.84922,0.66021,1.09442,0.77672,0.70588,0.72117,0.53153,0.96021,0.75251,1.08692,0.0089605,0.0089605,0.0089605
23,463.05,0.85291,0.66313,1.09,0.7688,0.71245,0.71995,0.52111,0.99018,0.77218,1.09707,0.008911,0.008911,0.008911
24,482.843,0.84101,0.6557,1.08821,0.74502,0.70778,0.71483,0.51296,0.98011,0.76227,1.10623,0.0088615,0.0088615,0.0088615
25,502.572,0.85219,0.65531,1.08742,0.79662,0.69971,0.73535,0.53001,0.98986,0.74947,1.09121,0.008812,0.008812,0.008812
26,522.381,0.81433,0.62418,1.07347,0.74619,0.71354,0.72774,0.52282,0.9739,0.76778,1.09742,0.0087625,0.0087625,0.0087625
27,542.41,0.82029,0.63626,1.0788,0.78731,0.72689,0.75037,0.53426,0.98161,0.72077,1.09437,0.008713,0.008713,0.008713
28,562.274,0.81653,0.63168,1.08029,0.80906,0.70996,0.74209,0.54658,0.93362,0.70406,1.07357,0.0086635,0.0086635,0.0086635
29,582.269,0.81392,0.62511,1.07098,0.78968,0.71567,0.75227,0.54472,0.9446,0.77425,1.07367,0.008614,0.008614,0.008614
30,602.214,0.83369,0.62783,1.0959,0.78716,0.70624,0.73322,0.53741,0.94015,0.71077,1.08041,0.0085645,0.0085645,0.0085645
31,622.216,0.806,0.61747,1.07753,0.81272,0.70391,0.74444,0.54597,0.94555,0.71167,1.07057,0.008515,0.008515,0.008515
32,642.054,0.78907,0.60063,1.05768,0.87864,0.71375,0.76562,0.56003,0.91815,0.69051,1.05475,0.0084655,0.0084655,0.0084655
33,661.892,0.78852,0.59135,1.05831,0.83293,0.7221,0.76021,0.5584,0.90777,0.68008,1.04864,0.008416,0.008416,0.008416
34,681.764,0.79599,0.60519,1.07151,0.81806,0.73194,0.75085,0.54789,0.9088,0.70898,1.05403,0.0083665,0.0083665,0.0083665
35,701.691,0.77522,0.58569,1.06018,0.80271,0.72426,0.75229,0.54928,0.93923,0.69906,1.06725,0.008317,0.008317,0.008317
36,721.593,0.77273,0.5819,1.05591,0.84571,0.71891,0.74954,0.54289,0.94159,0.67379,1.07081,0.0082675,0.0082675,0.0082675
37,741.434,0.77713,0.58218,1.05832,0.81346,0.72577,0.75173,0.5586,0.92188,0.69862,1.05088,0.008218,0.008218,0.008218
38,761.259,0.77606,0.58155,1.05498,0.81596,0.71573,0.75259,0.55333,0.93819,0.70048,1.05983,0.0081685,0.0081685,0.0081685
39,781.624,0.76042,0.56545,1.051,0.88125,0.7033,0.75073,0.55262,0.90575,0.68316,1.05786,0.008119,0.008119,0.008119
40,801.725,0.75463,0.56031,1.04865,0.80662,0.73174,0.75879,0.56138,0.90091,0.66536,1.04026,0.0080695,0.0080695,0.0080695
41,821.597,0.75528,0.5557,1.04284,0.83125,0.72508,0.75304,0.55922,0.9061,0.67057,1.05069,0.00802,0.00802,0.00802
42,841.495,0.74833,0.55356,1.05155,0.86246,0.72942,0.76993,0.56559,0.8909,0.66598,1.04363,0.0079705,0.0079705,0.0079705
43,861.383,0.74015,0.54773,1.04108,0.81823,0.7196,0.75376,0.56404,0.87758,0.65408,1.03971,0.007921,0.007921,0.007921
44,881.34,0.75093,0.54914,1.04159,0.81904,0.71904,0.75648,0.56843,0.89434,0.68555,1.04828,0.0078715,0.0078715,0.0078715
45,901.12,0.73278,0.54392,1.03314,0.83987,0.74368,0.77555,0.56048,0.92572,0.63178,1.07073,0.007822,0.007822,0.007822
